L1_Category_name,L1_Category_id,L2_Category_name,L2_Category_id,L3_Category_name,L3_Category_id,L4_Category_name,L4_Category_id,L5_Category_name,L5_Category_id
Arts & Entertainment,4d4b7104d754a06370d81259,Arts & Entertainment,4d4b7104d754a06370d81259,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Amphitheater,56aa371be4b08b9a8d5734db,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Aquarium,4fceea171983d5d06c3e9823,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Arcade,4bf58dd8d48988d1e1931735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Art Gallery,4bf58dd8d48988d1e2931735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Bowling Alley,4bf58dd8d48988d1e4931735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Casino,4bf58dd8d48988d17c941735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Circus,52e81612bcbc57f1066b79e7,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Comedy Club,4bf58dd8d48988d18e941735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Concert Hall,5032792091d4c4b30a586d5c,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Country Dance Club,52e81612bcbc57f1066b79ef,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Disc Golf,52e81612bcbc57f1066b79e8,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Exhibit,56aa371be4b08b9a8d573532,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,General Entertainment,4bf58dd8d48988d1f1931735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Go Kart Track,52e81612bcbc57f1066b79ea,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Historic Site,4deefb944765f83613cdba6e,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Karaoke Box,5744ccdfe4b0c0459246b4bb,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Laser Tag,52e81612bcbc57f1066b79e6,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Memorial Site,5642206c498e4bfca532186c,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Mini Golf,52e81612bcbc57f1066b79eb,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theater,4bf58dd8d48988d17f941735,Drive-in Theater,56aa371be4b08b9a8d5734de,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theater,4bf58dd8d48988d17f941735,Indie Movie Theater,4bf58dd8d48988d17e941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Movie Theater,4bf58dd8d48988d17f941735,Multiplex,4bf58dd8d48988d180941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museum,4bf58dd8d48988d181941735,Art Museum,4bf58dd8d48988d18f941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museum,4bf58dd8d48988d181941735,Erotic Museum,559acbe0498e472f1a53fa23,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museum,4bf58dd8d48988d181941735,History Museum,4bf58dd8d48988d190941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museum,4bf58dd8d48988d181941735,Planetarium,4bf58dd8d48988d192941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Museum,4bf58dd8d48988d181941735,Science Museum,4bf58dd8d48988d191941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venue,4bf58dd8d48988d1e5931735,Jazz Club,4bf58dd8d48988d1e7931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venue,4bf58dd8d48988d1e5931735,Piano Bar,4bf58dd8d48988d1e8931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Music Venue,4bf58dd8d48988d1e5931735,Rock Club,4bf58dd8d48988d1e9931735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Pachinko Parlor,5744ccdfe4b0c0459246b4b8,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venue,4bf58dd8d48988d1f2931735,Dance Studio,4bf58dd8d48988d134941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venue,4bf58dd8d48988d1f2931735,Indie Theater,4bf58dd8d48988d135941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venue,4bf58dd8d48988d1f2931735,Opera House,4bf58dd8d48988d136941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Performing Arts Venue,4bf58dd8d48988d1f2931735,Theater,4bf58dd8d48988d137941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Pool Hall,4bf58dd8d48988d1e3931735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,Outdoor Sculpture,52e81612bcbc57f1066b79ed,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Public Art,507c8c4091d498d9fc8c67a9,Street Art,52e81612bcbc57f1066b79ee,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Racecourse,56aa371be4b08b9a8d573514,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Racetrack,4bf58dd8d48988d1f4931735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Roller Rink,52e81612bcbc57f1066b79e9,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Salsa Club,52e81612bcbc57f1066b79ec,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Samba School,56aa371be4b08b9a8d5734f9,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Baseball Stadium,4bf58dd8d48988d18c941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Basketball Stadium,4bf58dd8d48988d18b941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Cricket Ground,4bf58dd8d48988d18a941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Football Stadium,4bf58dd8d48988d189941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Hockey Arena,4bf58dd8d48988d185941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Rugby Stadium,56aa371be4b08b9a8d573556,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Soccer Stadium,4bf58dd8d48988d188941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Tennis Stadium,4e39a891bd410d7aed40cbc2,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Stadium,4bf58dd8d48988d184941735,Track Stadium,4bf58dd8d48988d187941735,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Theme Park,4bf58dd8d48988d182941735,Theme Park Ride / Attraction,5109983191d435c0d71c2bb1,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Tour Provider,56aa371be4b08b9a8d573520,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Water Park,4bf58dd8d48988d193941735,,,,,,
Arts & Entertainment,4d4b7104d754a06370d81259,Zoo,4bf58dd8d48988d17b941735,Zoo Exhibit,58daa1558bbb0b01f18ec1fd,,,,
College & University,4d4b7105d754a06372d81259,College & University,4d4b7105d754a06372d81259,,,,,,
College & University,4d4b7105d754a06372d81259,College Academic Building,4bf58dd8d48988d198941735,College Arts Building,4bf58dd8d48988d199941735,,,,
College & University,4d4b7105d754a06372d81259,College Academic Building,4bf58dd8d48988d198941735,College Communications Building,4bf58dd8d48988d19a941735,,,,
College & University,4d4b7105d754a06372d81259,College Academic Building,4bf58dd8d48988d198941735,College Engineering Building,4bf58dd8d48988d19e941735,,,,
College & University,4d4b7105d754a06372d81259,College Academic Building,4bf58dd8d48988d198941735,College History Building,4bf58dd8d48988d19d941735,,,,
College & University,4d4b7105d754a06372d81259,College Academic Building,4bf58dd8d48988d198941735,College Math Building,4bf58dd8d48988d19c941735,,,,
College & University,4d4b7105d754a06372d81259,College Academic Building,4bf58dd8d48988d198941735,College Science Building,4bf58dd8d48988d19b941735,,,,
College & University,4d4b7105d754a06372d81259,College Academic Building,4bf58dd8d48988d198941735,College Technology Building,4bf58dd8d48988d19f941735,,,,
College & University,4d4b7105d754a06372d81259,College Administrative Building,4bf58dd8d48988d197941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Auditorium,4bf58dd8d48988d1af941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Bookstore,4bf58dd8d48988d1b1941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Cafeteria,4bf58dd8d48988d1a1941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Classroom,4bf58dd8d48988d1a0941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Gym,4bf58dd8d48988d1b2941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Lab,4bf58dd8d48988d1a5941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Library,4bf58dd8d48988d1a7941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Quad,4bf58dd8d48988d1aa941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Rec Center,4bf58dd8d48988d1a9941735,,,,,,
College & University,4d4b7105d754a06372d81259,College Residence Hall,4bf58dd8d48988d1a3941735,,,,,,
