General Travel	Travel & Transport
Bakery	Food
French Restaurant	Food
Bagel Shop	Food
Beer Garden	Nightlife Spot
Food	Food
Bowling Alley	Arts & Entertainment
Art Gallery	Arts & Entertainment
Concert Hall	Arts & Entertainment
Factory	Professional & Other Places
Subway	Travel & Transport
Public Art	Arts & Entertainment
Camera Store	Shop & Service
Campground	Outdoors & Recreation
Ramen /  Noodle House	Food
Castle	Outdoors & Recreation
Paper / Office Supplies Store	Shop & Service
Flower Shop	Shop & Service
Shrine	Professional & Other Places
Temple	Professional & Other Places
Beach	Outdoors & Recreation
Moroccan Restaurant	Food
Smoke Shop	Shop & Service
Design Studio	Shop & Service
Bridal Shop	Shop & Service
Funeral Home	Professional & Other Places
Clothing Store	Shop & Service
BBQ Joint	Food
Bank	Shop & Service
Miscellaneous Shop	Shop & Service
Neighborhood	Outdoors & Recreation
Caribbean Restaurant	Food
Garden Center	Shop & Service
Jewelry Store	Shop & Service
Arcade	Arts & Entertainment
Sporting Goods Shop	Shop & Service
Gaming Cafe	Shop & Service
Distillery	Professional & Other Places
Sorority House	College & University
Steakhouse	Food
Zoo	Arts & Entertainment
Rest Area	Travel & Transport
Tapas Restaurant	Food
Video Game Store	Shop & Service
Breakfast Spot	Food
Newsstand	Shop & Service
Scandinavian Restaurant	Food
Argentinian Restaurant	Food
Other Great Outdoors	Outdoors & Recreation
Taxi	Travel & Transport
Art Museum	Arts & Entertainment
Harbor / Marina	Outdoors & Recreation
General College & University	College & University
Car Wash	Shop & Service
Spiritual Center	Professional & Other Places
Thai Restaurant	Food
Light Rail	Travel & Transport
Gift Shop	Shop & Service
Office	Professional & Other Places
Travel Lounge	Travel & Transport
Flea Market	Shop & Service
Synagogue	Professional & Other Places
Embassy / Consulate	Professional & Other Places
Cajun / Creole Restaurant	Food
Cupcake Shop	Food
Mobile Phone Shop	Shop & Service
College & University	College & University
Park	Outdoors & Recreation
Coffee Shop	Food
Burrito Place	Food
Market	Shop & Service
Middle Eastern Restaurant	Food
Southern / Soul Food Restaurant	Food
Library	Professional & Other Places
Deli / Bodega	Food
Ferry	Travel & Transport
Mediterranean Restaurant	Food
Law School	College & University
Board Shop	Shop & Service
Cuban Restaurant	Food
Cemetery	Outdoors & Recreation
Photography Lab	Shop & Service
Automotive Shop	Shop & Service
Asian Restaurant	Food
Italian Restaurant	Food
Government Building	Professional & Other Places
Train Station	Travel & Transport
College Academic Building	College & University
Mall	Shop & Service
Bookstore	Shop & Service
Korean Restaurant	Food
Rental Car Location	Travel & Transport
Parking	Professional & Other Places
Middle School	Professional & Other Places
Gym / Fitness Center	Outdoors & Recreation
Portuguese Restaurant	Food
Arts & Crafts Store	Shop & Service
Bike Rental / Bike Share	Travel & Transport
Ski Area	Outdoors & Recreation
Nursery School	Professional & Other Places
Event Space	Professional & Other Places
Dessert Shop	Food
Food & Drink Shop	Shop & Service
Playground	Outdoors & Recreation
Vegetarian / Vegan Restaurant	Food
Salon / Barbershop	Shop & Service
Church	Professional & Other Places
Japanese Restaurant	Food
Shop & Service	Shop & Service
Ice Cream Shop	Food
Pool Hall	Arts & Entertainment
Gastropub	Food
Bus Station	Travel & Transport
Animal Shelter	Professional & Other Places
Brazilian Restaurant	Food
Falafel Restaurant	Food
University	College & University
Candy Store	Shop & Service
Internet Cafe	Shop & Service
Pool	Outdoors & Recreation
Diner	Food
Medical Center	Professional & Other Places
School	Professional & Other Places
Motorcycle Shop	Shop & Service
Nightlife Spot	Nightlife Spot
Spanish Restaurant	Food
Hotel	Travel & Transport
Residential Building (Apartment / Condo)	Residence
Car Dealership	Shop & Service
Wings Joint	Food
Garden	Outdoors & Recreation
Convention Center	Professional & Other Places
Music School	Professional & Other Places
Afghan Restaurant	Food
Fried Chicken Joint	Food
River	Outdoors & Recreation
Latin American Restaurant	Food
Movie Theater	Arts & Entertainment
College Stadium	College & University
Building	Professional & Other Places
